Product code,Bureau of Meteorology station number,Year,Month,Day,Rainfall amount (millimetres),Period over which rainfall was measured (days),Quality
IDCJAC0009,81060,1960,02,04,0.0,,Y
IDCJAC0009,81060,1960,02,05,0.0,,Y
IDCJAC0009,81060,1960,02,06,0.0,,Y
IDCJAC0009,81060,1960,02,07,0.0,,Y
IDCJAC0009,81060,1960,02,08,0.0,,Y
IDCJAC0009,81060,1960,02,09,0.0,,Y
IDCJAC0009,81060,1960,02,10,0.0,,Y
IDCJAC0009,81060,1960,02,11,0.0,,Y
IDCJAC0009,81060,1960,02,12,0.0,,Y
IDCJAC0009,81060,1960,02,13,0.0,,Y
IDCJAC0009,81060,1960,02,14,29.0,1,Y
IDCJAC0009,81060,1960,02,15,0.0,,Y
IDCJAC0009,81060,1960,02,16,0.0,,Y
IDCJAC0009,81060,1960,02,17,1.5,1,Y
IDCJAC0009,81060,1960,02,18,0.0,,Y
IDCJAC0009,81060,1960,02,19,0.0,,Y
IDCJAC0009,81060,1960,02,20,0.0,,Y
IDCJAC0009,81060,1960,02,21,0.0,,Y
IDCJAC0009,81060,1960,02,22,0.0,,Y
IDCJAC0009,81060,1960,02,23,5.6,1,Y
IDCJAC0009,81060,1960,02,24,0.0,,Y
IDCJAC0009,81060,1960,02,25,0.0,,Y
IDCJAC0009,81060,1960,02,26,0.0,,Y
IDCJAC0009,81060,1960,02,27,0.0,,Y
IDCJAC0009,81060,1960,02,28,0.0,,Y
IDCJAC0009,81060,1960,02,29,0.0,,Y
IDCJAC0009,81060,1960,03,01,0.0,,Y
IDCJAC0009,81060,1960,03,02,0.0,,Y
IDCJAC0009,81060,1960,03,03,0.0,,Y
IDCJAC0009,81060,1960,03,04,0.0,,Y
IDCJAC0009,81060,1960,03,05,0.0,,Y
IDCJAC0009,81060,1960,03,06,0.0,,Y
IDCJAC0009,81060,1960,03,07,0.0,,Y
IDCJAC0009,81060,1960,03,08,3.6,1,Y
IDCJAC0009,81060,1960,03,09,0.0,,Y
IDCJAC0009,81060,1960,03,10,0.0,,Y
IDCJAC0009,81060,1960,03,11,0.0,,Y
IDCJAC0009,81060,1960,03,12,0.0,,Y
IDCJAC0009,81060,1960,03,13,0.0,,Y
IDCJAC0009,81060,1960,03,14,0.0,,Y
IDCJAC0009,81060,1960,03,15,0.0,,Y
IDCJAC0009,81060,1960,03,16,0.0,,Y
IDCJAC0009,81060,1960,03,17,0.0,,Y
IDCJAC0009,81060,1960,03,18,0.0,,Y
IDCJAC0009,81060,1960,03,19,0.0,,Y
IDCJAC0009,81060,1960,03,20,0.0,,Y
IDCJAC0009,81060,1960,03,21,3.3,1,Y
IDCJAC0009,81060,1960,03,22,0.0,,Y
IDCJAC0009,81060,1960,03,23,0.0,,Y
IDCJAC0009,81060,1960,03,24,0.0,,Y
IDCJAC0009,81060,1960,03,25,0.0,,Y
IDCJAC0009,81060,1960,03,26,0.0,,Y
IDCJAC0009,81060,1960,03,27,0.0,,Y
IDCJAC0009,81060,1960,03,28,0.0,,Y
IDCJAC0009,81060,1960,03,29,0.0,,Y
IDCJAC0009,81060,1960,03,30,0.0,,Y
IDCJAC0009,81060,1960,03,31,4.6,1,Y
IDCJAC0009,81060,1960,04,01,0.0,,Y
IDCJAC0009,81060,1960,04,02,0.0,,Y
IDCJAC0009,81060,1960,04,03,0.0,,Y
IDCJAC0009,81060,1960,04,04,0.0,,Y
IDCJAC0009,81060,1960,04,05,0.0,,Y
IDCJAC0009,81060,1960,04,06,0.0,,Y
IDCJAC0009,81060,1960,04,07,0.0,,Y
IDCJAC0009,81060,1960,04,08,0.0,,Y
IDCJAC0009,81060,1960,04,09,5.1,1,Y
IDCJAC0009,81060,1960,04,10,6.4,1,Y
IDCJAC0009,81060,1960,04,11,0.0,,Y
IDCJAC0009,81060,1960,04,12,0.8,1,Y
IDCJAC0009,81060,1960,04,13,0.0,,Y
IDCJAC0009,81060,1960,04,14,0.0,,Y
IDCJAC0009,81060,1960,04,15,3.8,1,Y
IDCJAC0009,81060,1960,04,16,0.0,,Y
IDCJAC0009,81060,1960,04,17,0.0,,Y
IDCJAC0009,81060,1960,04,18,0.0,,Y
IDCJAC0009,81060,1960,04,19,0.0,,Y
IDCJAC0009,81060,1960,04,20,0.0,,Y
IDCJAC0009,81060,1960,04,21,9.4,1,Y
IDCJAC0009,81060,1960,04,22,8.6,1,Y
IDCJAC0009,81060,1960,04,23,10.7,1,Y
IDCJAC0009,81060,1960,04,24,0.0,,Y
IDCJAC0009,81060,1960,04,25,0.0,,Y
IDCJAC0009,81060,1960,04,26,0.0,,Y
IDCJAC0009,81060,1960,04,27,9.4,1,Y
IDCJAC0009,81060,1960,04,28,24.6,1,Y
IDCJAC0009,81060,1960,04,29,0.0,,Y
IDCJAC0009,81060,1960,04,30,0.0,,Y
IDCJAC0009,81060,1960,05,01,16.3,1,Y
IDCJAC0009,81060,1960,05,02,4.3,1,Y
IDCJAC0009,81060,1960,05,03,0.0,,Y
IDCJAC0009,81060,1960,05,04,9.9,1,Y
IDCJAC0009,81060,1960,05,05,19.6,1,Y
IDCJAC0009,81060,1960,05,06,8.4,1,Y
IDCJAC0009,81060,1960,05,07,12.2,1,Y
IDCJAC0009,81060,1960,05,08,5.8,1,Y
IDCJAC0009,81060,1960,05,09,0.0,,Y
IDCJAC0009,81060,1960,05,10,0.0,,Y
IDCJAC0009,81060,1960,05,11,0.0,,Y
IDCJAC0009,81060,1960,05,12,30.5,1,Y
IDCJAC0009,81060,1960,05,13,9.9,1,Y
IDCJAC0009,81060,1960,05,14,11.7,1,Y
IDCJAC0009,81060,1960,05,15,8.9,1,Y
IDCJAC0009,81060,1960,05,16,1.0,1,Y
IDCJAC0009,81060,1960,05,17,0.8,1,Y
IDCJAC0009,81060,1960,05,18,0.0,,Y
IDCJAC0009,81060,1960,05,19,0.0,,Y
IDCJAC0009,81060,1960,05,20,0.0,,Y
IDCJAC0009,81060,1960,05,21,0.0,,Y
IDCJAC0009,81060,1960,05,22,0.0,,Y
IDCJAC0009,81060,1960,05,23,0.0,,Y
IDCJAC0009,81060,1960,05,24,0.0,,Y
IDCJAC0009,81060,1960,05,25,0.0,,Y
IDCJAC0009,81060,1960,05,26,0.0,,Y
IDCJAC0009,81060,1960,05,27,8.1,1,Y
IDCJAC0009,81060,1960,05,28,47.0,1,Y
IDCJAC0009,81060,1960,05,29,1.0,1,Y
IDCJAC0009,81060,1960,05,30,4.1,1,Y
IDCJAC0009,81060,1960,05,31,1.0,1,Y
IDCJAC0009,81060,1960,06,01,0.0,,Y
IDCJAC0009,81060,1960,06,02,3.0,1,Y
IDCJAC0009,81060,1960,06,03,0.0,,Y
IDCJAC0009,81060,1960,06,04,0.0,,Y
IDCJAC0009,81060,1960,06,05,0.0,,Y
IDCJAC0009,81060,1960,06,06,0.0,,Y
IDCJAC0009,81060,1960,06,07,0.0,,Y
IDCJAC0009,81060,1960,06,08,4.1,1,Y
IDCJAC0009,81060,1960,06,09,15.7,1,Y
IDCJAC0009,81060,1960,06,10,2.0,1,Y
IDCJAC0009,81060,1960,06,11,7.4,1,Y
IDCJAC0009,81060,1960,06,12,0.0,,Y
IDCJAC0009,81060,1960,06,13,0.0,,Y
IDCJAC0009,81060,1960,06,14,0.0,,Y
IDCJAC0009,81060,1960,06,15,11.4,1,Y
IDCJAC0009,81060,1960,06,16,5.6,1,Y
IDCJAC0009,81060,1960,06,17,0.0,,Y
IDCJAC0009,81060,1960,06,18,5.1,1,Y
IDCJAC0009,81060,1960,06,19,0.0,,Y
IDCJAC0009,81060,1960,06,20,0.0,,Y
IDCJAC0009,81060,1960,06,21,0.0,,Y
IDCJAC0009,81060,1960,06,22,0.0,,Y
IDCJAC0009,81060,1960,06,23,0.0,,Y
IDCJAC0009,81060,1960,06,24,0.0,,Y
IDCJAC0009,81060,1960,06,25,0.0,,Y
IDCJAC0009,81060,1960,06,26,0.0,,Y
IDCJAC0009,81060,1960,06,27,0.0,,Y
IDCJAC0009,81060,1960,06,28,0.0,,Y
IDCJAC0009,81060,1960,06,29,0.0,,Y
IDCJAC0009,81060,1960,06,30,0.0,,Y
IDCJAC0009,81060,1960,07,01,0.0,,Y
IDCJAC0009,81060,1960,07,02,0.0,,Y
IDCJAC0009,81060,1960,07,03,2.8,1,Y
IDCJAC0009,81060,1960,07,04,3.0,1,Y
IDCJAC0009,81060,1960,07,05,3.6,1,Y
IDCJAC0009,81060,1960,07,06,0.0,,Y
IDCJAC0009,81060,1960,07,07,0.0,,Y
IDCJAC0009,81060,1960,07,08,0.0,,Y
IDCJAC0009,81060,1960,07,09,9.4,1,Y
IDCJAC0009,81060,1960,07,10,29.0,1,Y
IDCJAC0009,81060,1960,07,11,0.0,,Y
IDCJAC0009,81060,1960,07,12,0.0,,Y
IDCJAC0009,81060,1960,07,13,0.0,,Y
IDCJAC0009,81060,1960,07,14,4.6,1,Y
IDCJAC0009,81060,1960,07,15,0.0,,Y
IDCJAC0009,81060,1960,07,16,0.8,1,Y
IDCJAC0009,81060,1960,07,17,5.1,1,Y
IDCJAC0009,81060,1960,07,18,1.5,1,Y
IDCJAC0009,81060,1960,07,19,9.1,1,Y
IDCJAC0009,81060,1960,07,20,8.9,1,Y
IDCJAC0009,81060,1960,07,21,0.0,,Y
IDCJAC0009,81060,1960,07,22,9.7,1,Y
IDCJAC0009,81060,1960,07,23,0.0,,Y
IDCJAC0009,81060,1960,07,24,0.0,,Y
IDCJAC0009,81060,1960,07,25,3.6,1,Y
IDCJAC0009,81060,1960,07,26,0.0,,Y
IDCJAC0009,81060,1960,07,27,0.0,,Y
IDCJAC0009,81060,1960,07,28,12.2,1,Y
IDCJAC0009,81060,1960,07,29,0.0,,Y
IDCJAC0009,81060,1960,07,30,3.3,1,Y
IDCJAC0009,81060,1960,07,31,5.3,1,Y
IDCJAC0009,81060,1960,08,01,0.0,,Y
IDCJAC0009,81060,1960,08,02,2.8,1,Y
IDCJAC0009,81060,1960,08,03,2.0,1,Y
IDCJAC0009,81060,1960,08,04,0.0,,Y
IDCJAC0009,81060,1960,08,05,0.0,,Y
IDCJAC0009,81060,1960,08,06,0.0,,Y
IDCJAC0009,81060,1960,08,07,0.0,,Y
IDCJAC0009,81060,1960,08,08,0.0,,Y
IDCJAC0009,81060,1960,08,09,11.7,1,Y
IDCJAC0009,81060,1960,08,10,0.0,,Y
IDCJAC0009,81060,1960,08,11,0.0,,Y
IDCJAC0009,81060,1960,08,12,12.7,1,Y
IDCJAC0009,81060,1960,08,13,3.6,1,Y
IDCJAC0009,81060,1960,08,14,8.6,1,Y
IDCJAC0009,81060,1960,08,15,6.6,1,Y
IDCJAC0009,81060,1960,08,16,0.0,,Y
IDCJAC0009,81060,1960,08,17,0.0,,Y
IDCJAC0009,81060,1960,08,18,0.0,,Y
IDCJAC0009,81060,1960,08,19,3.3,1,Y
IDCJAC0009,81060,1960,08,20,6.1,1,Y
IDCJAC0009,81060,1960,08,21,0.0,,Y
IDCJAC0009,81060,1960,08,22,0.0,,Y
IDCJAC0009,81060,1960,08,23,1.8,1,Y
IDCJAC0009,81060,1960,08,24,2.5,1,Y
IDCJAC0009,81060,1960,08,25,3.6,1,Y
IDCJAC0009,81060,1960,08,26,0.0,,Y
IDCJAC0009,81060,1960,08,27,0.0,,Y
IDCJAC0009,81060,1960,08,28,0.0,,Y
IDCJAC0009,81060,1960,08,29,0.0,,Y
IDCJAC0009,81060,1960,08,30,1.3,1,Y
IDCJAC0009,81060,1960,08,31,0.0,,Y
IDCJAC0009,81060,1960,09,01,0.0,,Y
IDCJAC0009,81060,1960,09,02,0.0,,Y
IDCJAC0009,81060,1960,09,03,11.7,1,Y
IDCJAC0009,81060,1960,09,04,8.6,1,Y
IDCJAC0009,81060,1960,09,05,1.3,1,Y
IDCJAC0009,81060,1960,09,06,0.0,,Y
IDCJAC0009,81060,1960,09,07,0.0,,Y
IDCJAC0009,81060,1960,09,08,19.1,1,Y
IDCJAC0009,81060,1960,09,09,0.0,,Y
IDCJAC0009,81060,1960,09,10,0.0,,Y
IDCJAC0009,81060,1960,09,11,0.0,,Y
IDCJAC0009,81060,1960,09,12,0.0,,Y
IDCJAC0009,81060,1960,09,13,0.0,,Y
IDCJAC0009,81060,1960,09,14,17.0,1,Y
IDCJAC0009,81060,1960,09,15,11.7,1,Y
IDCJAC0009,81060,1960,09,16,2.0,1,Y
IDCJAC0009,81060,1960,09,17,15.2,1,Y
IDCJAC0009,81060,1960,09,18,5.1,1,Y
IDCJAC0009,81060,1960,09,19,0.0,,Y
IDCJAC0009,81060,1960,09,20,0.0,,Y
IDCJAC0009,81060,1960,09,21,11.4,1,Y
IDCJAC0009,81060,1960,09,22,3.8,1,Y
IDCJAC0009,81060,1960,09,23,8.4,1,Y
IDCJAC0009,81060,1960,09,24,28.4,1,Y
IDCJAC0009,81060,1960,09,25,17.8,1,Y
IDCJAC0009,81060,1960,09,26,1.0,1,Y
IDCJAC0009,81060,1960,09,27,0.0,,Y
IDCJAC0009,81060,1960,09,28,0.0,,Y
IDCJAC0009,81060,1960,09,29,0.0,,Y
IDCJAC0009,81060,1960,09,30,1.0,1,Y
IDCJAC0009,81060,1960,10,01,5.1,1,Y
IDCJAC0009,81060,1960,10,02,0.0,,Y
IDCJAC0009,81060,1960,10,03,0.0,,Y
IDCJAC0009,81060,1960,10,04,0.0,,Y
IDCJAC0009,81060,1960,10,05,0.0,,Y
IDCJAC0009,81060,1960,10,06,0.0,,Y
IDCJAC0009,81060,1960,10,07,8.1,1,Y
IDCJAC0009,81060,1960,10,08,0.0,,Y
IDCJAC0009,81060,1960,10,09,0.0,,Y
IDCJAC0009,81060,1960,10,10,0.0,,Y
IDCJAC0009,81060,1960,10,11,0.0,,Y
IDCJAC0009,81060,1960,10,12,0.0,,Y
IDCJAC0009,81060,1960,10,13,0.0,,Y
IDCJAC0009,81060,1960,10,14,0.0,,Y
IDCJAC0009,81060,1960,10,15,0.0,,Y
IDCJAC0009,81060,1960,10,16,0.0,,Y
IDCJAC0009,81060,1960,10,17,0.0,,Y
IDCJAC0009,81060,1960,10,18,7.9,1,Y
IDCJAC0009,81060,1960,10,19,0.0,,Y
IDCJAC0009,81060,1960,10,20,0.0,,Y
IDCJAC0009,81060,1960,10,21,0.0,,Y
IDCJAC0009,81060,1960,10,22,0.0,,Y
IDCJAC0009,81060,1960,10,23,0.0,,Y
IDCJAC0009,81060,1960,10,24,0.0,,Y
IDCJAC0009,81060,1960,10,25,0.0,,Y
IDCJAC0009,81060,1960,10,26,0.0,,Y
IDCJAC0009,81060,1960,10,27,0.0,,Y
IDCJAC0009,81060,1960,10,28,0.0,,Y
IDCJAC0009,81060,1960,10,29,0.0,,Y
IDCJAC0009,81060,1960,10,30,0.0,,Y
IDCJAC0009,81060,1960,10,31,0.0,,Y
IDCJAC0009,81060,1960,11,01,0.0,,Y
IDCJAC0009,81060,1960,11,02,0.0,,Y
IDCJAC0009,81060,1960,11,03,0.0,,Y
IDCJAC0009,81060,1960,11,04,1.8,1,Y
IDCJAC0009,81060,1960,11,05,0.0,,Y
IDCJAC0009,81060,1960,11,06,0.0,,Y
IDCJAC0009,81060,1960,11,07,0.0,,Y
IDCJAC0009,81060,1960,11,08,0.0,,Y
IDCJAC0009,81060,1960,11,09,21.8,1,Y
IDCJAC0009,81060,1960,11,10,0.0,,Y
IDCJAC0009,81060,1960,11,11,0.0,,Y
IDCJAC0009,81060,1960,11,12,19.8,1,Y
IDCJAC0009,81060,1960,11,13,23.6,1,Y
IDCJAC0009,81060,1960,11,14,3.0,1,Y
IDCJAC0009,81060,1960,11,15,0.0,,Y
IDCJAC0009,81060,1960,11,16,0.0,,Y
IDCJAC0009,81060,1960,11,17,0.0,,Y
IDCJAC0009,81060,1960,11,18,1.8,1,Y
IDCJAC0009,81060,1960,11,19,0.0,,Y
IDCJAC0009,81060,1960,11,20,0.0,,Y
IDCJAC0009,81060,1960,11,21,18.3,1,Y
IDCJAC0009,81060,1960,11,22,5.6,1,Y
IDCJAC0009,81060,1960,11,23,0.5,1,Y
IDCJAC0009,81060,1960,11,24,1.0,1,Y
IDCJAC0009,81060,1960,11,25,0.0,,Y
IDCJAC0009,81060,1960,11,26,0.0,,Y
IDCJAC0009,81060,1960,11,27,0.0,,Y
IDCJAC0009,81060,1960,11,28,0.0,,Y
IDCJAC0009,81060,1960,11,29,0.0,,Y
IDCJAC0009,81060,1960,11,30,0.0,,Y
IDCJAC0009,81060,1960,12,01,0.0,,Y
IDCJAC0009,81060,1960,12,02,5.6,1,Y
IDCJAC0009,81060,1960,12,03,17.0,1,Y
IDCJAC0009,81060,1960,12,04,2.8,1,Y
IDCJAC0009,81060,1960,12,05,0.0,,Y
IDCJAC0009,81060,1960,12,06,0.0,,Y
IDCJAC0009,81060,1960,12,07,0.0,,Y
IDCJAC0009,81060,1960,12,08,0.0,,Y
IDCJAC0009,81060,1960,12,09,0.0,,Y
IDCJAC0009,81060,1960,12,10,0.0,,Y
IDCJAC0009,81060,1960,12,11,0.0,,Y
IDCJAC0009,81060,1960,12,12,0.0,,Y
IDCJAC0009,81060,1960,12,13,0.0,,Y
IDCJAC0009,81060,1960,12,14,0.0,,Y
IDCJAC0009,81060,1960,12,15,0.0,,Y
IDCJAC0009,81060,1960,12,16,0.0,,Y
IDCJAC0009,81060,1960,12,17,0.0,,Y
IDCJAC0009,81060,1960,12,18,0.0,,Y
IDCJAC0009,81060,1960,12,19,0.0,,Y
IDCJAC0009,81060,1960,12,20,0.0,,Y
IDCJAC0009,81060,1960,12,21,0.0,,Y
IDCJAC0009,81060,1960,12,22,0.0,,Y
IDCJAC0009,81060,1960,12,23,0.0,,Y
IDCJAC0009,81060,1960,12,24,0.0,,Y
IDCJAC0009,81060,1960,12,25,0.0,,Y
IDCJAC0009,81060,1960,12,26,0.0,,Y
IDCJAC0009,81060,1960,12,27,3.6,1,Y
IDCJAC0009,81060,1960,12,28,0.0,,Y
IDCJAC0009,81060,1960,12,29,4.6,1,Y
IDCJAC0009,81060,1960,12,30,0.0,,Y
IDCJAC0009,81060,1960,12,31,0.0,,Y
IDCJAC0009,81060,1961,01,01,10.7,1,Y
IDCJAC0009,81060,1961,01,02,0.0,,Y
IDCJAC0009,81060,1961,01,03,0.0,,Y
IDCJAC0009,81060,1961,01,04,0.0,,Y
IDCJAC0009,81060,1961,01,05,0.0,,Y
IDCJAC0009,81060,1961,01,06,0.0,,Y
IDCJAC0009,81060,1961,01,07,0.0,,Y
IDCJAC0009,81060,1961,01,08,0.0,,Y
IDCJAC0009,81060,1961,01,09,0.0,,Y
IDCJAC0009,81060,1961,01,10,0.0,,Y
IDCJAC0009,81060,1961,01,11,0.0,,Y
IDCJAC0009,81060,1961,01,12,0.0,,Y
IDCJAC0009,81060,1961,01,13,0.0,,Y
IDCJAC0009,81060,1961,01,14,0.0,,Y
IDCJAC0009,81060,1961,01,15,0.0,,Y
IDCJAC0009,81060,1961,01,16,0.0,,Y
IDCJAC0009,81060,1961,01,17,0.0,,Y
IDCJAC0009,81060,1961,01,18,0.0,,Y
IDCJAC0009,81060,1961,01,19,0.0,,Y
IDCJAC0009,81060,1961,01,20,0.0,,Y
IDCJAC0009,81060,1961,01,21,0.0,,Y
IDCJAC0009,81060,1961,01,22,0.0,,Y
IDCJAC0009,81060,1961,01,23,0.0,,Y
IDCJAC0009,81060,1961,01,24,0.0,,Y
IDCJAC0009,81060,1961,01,25,0.0,,Y
IDCJAC0009,81060,1961,01,26,0.0,,Y
IDCJAC0009,81060,1961,01,27,0.0,,Y
IDCJAC0009,81060,1961,01,28,0.0,,Y
IDCJAC0009,81060,1961,01,29,0.0,,Y
IDCJAC0009,81060,1961,01,30,0.0,,Y
IDCJAC0009,81060,1961,01,31,0.0,,Y
IDCJAC0009,81060,1961,02,01,0.0,,Y
IDCJAC0009,81060,1961,02,02,0.0,,Y
IDCJAC0009,81060,1961,02,03,0.0,,Y
IDCJAC0009,81060,1961,02,04,0.0,,Y
IDCJAC0009,81060,1961,02,05,0.0,,Y
IDCJAC0009,81060,1961,02,06,0.0,,Y
IDCJAC0009,81060,1961,02,07,0.0,,Y
IDCJAC0009,81060,1961,02,08,0.0,,Y
IDCJAC0009,81060,1961,02,09,19.8,1,Y
IDCJAC0009,81060,1961,02,10,0.0,,Y
IDCJAC0009,81060,1961,02,11,0.0,,Y
IDCJAC0009,81060,1961,02,12,0.0,,Y
IDCJAC0009,81060,1961,02,13,0.0,,Y
IDCJAC0009,81060,1961,02,14,0.0,,Y
IDCJAC0009,81060,1961,02,15,0.0,,Y
IDCJAC0009,81060,1961,02,16,0.0,,Y
IDCJAC0009,81060,1961,02,17,0.0,,Y
IDCJAC0009,81060,1961,02,18,1.5,1,Y
IDCJAC0009,81060,1961,02,19,0.0,,Y
IDCJAC0009,81060,1961,02,20,0.0,,Y
IDCJAC0009,81060,1961,02,21,0.0,,Y
IDCJAC0009,81060,1961,02,22,2.0,1,Y
IDCJAC0009,81060,1961,02,23,0.0,,Y
IDCJAC0009,81060,1961,02,24,0.0,,Y
IDCJAC0009,81060,1961,02,25,0.0,,Y
IDCJAC0009,81060,1961,02,26,0.0,,Y
IDCJAC0009,81060,1961,02,27,0.0,,Y
IDCJAC0009,81060,1961,02,28,0.0,,Y
IDCJAC0009,81060,1961,03,01,24.6,1,Y
IDCJAC0009,81060,1961,03,02,8.9,1,Y
IDCJAC0009,81060,1961,03,03,0.0,,Y
IDCJAC0009,81060,1961,03,04,0.0,,Y
IDCJAC0009,81060,1961,03,05,0.0,,Y
IDCJAC0009,81060,1961,03,06,0.0,,Y
IDCJAC0009,81060,1961,03,07,0.0,,Y
IDCJAC0009,81060,1961,03,08,0.0,,Y
IDCJAC0009,81060,1961,03,09,0.0,,Y
IDCJAC0009,81060,1961,03,10,0.0,,Y
IDCJAC0009,81060,1961,03,11,0.0,,Y
IDCJAC0009,81060,1961,03,12,0.0,,Y
IDCJAC0009,81060,1961,03,13,0.0,,Y
IDCJAC0009,81060,1961,03,14,0.0,,Y
IDCJAC0009,81060,1961,03,15,0.0,,Y
IDCJAC0009,81060,1961,03,16,0.0,,Y
IDCJAC0009,81060,1961,03,17,5.6,1,Y
IDCJAC0009,81060,1961,03,18,0.0,,Y
IDCJAC0009,81060,1961,03,19,0.0,,Y
IDCJAC0009,81060,1961,03,20,0.0,,Y
IDCJAC0009,81060,1961,03,21,30.0,1,Y
IDCJAC0009,81060,1961,03,22,0.0,,Y
IDCJAC0009,81060,1961,03,23,0.5,1,Y
IDCJAC0009,81060,1961,03,24,0.0,,Y
IDCJAC0009,81060,1961,03,25,0.0,,Y
IDCJAC0009,81060,1961,03,26,0.0,,Y
IDCJAC0009,81060,1961,03,27,0.0,,Y
IDCJAC0009,81060,1961,03,28,0.0,,Y
IDCJAC0009,81060,1961,03,29,0.0,,Y
IDCJAC0009,81060,1961,03,30,0.0,,Y
IDCJAC0009,81060,1961,03,31,0.0,,Y
IDCJAC0009,81060,1961,04,01,0.0,,Y
IDCJAC0009,81060,1961,04,02,0.0,,Y
IDCJAC0009,81060,1961,04,03,0.0,,Y
IDCJAC0009,81060,1961,04,04,0.0,,Y
IDCJAC0009,81060,1961,04,05,2.0,1,Y
IDCJAC0009,81060,1961,04,06,0.0,,Y
IDCJAC0009,81060,1961,04,07,0.0,,Y
IDCJAC0009,81060,1961,04,08,0.0,,Y
IDCJAC0009,81060,1961,04,09,0.0,,Y
IDCJAC0009,81060,1961,04,10,0.0,,Y
IDCJAC0009,81060,1961,04,11,6.6,1,Y
IDCJAC0009,81060,1961,04,12,0.0,,Y
IDCJAC0009,81060,1961,04,13,2.5,1,Y
IDCJAC0009,81060,1961,04,14,7.6,1,Y
IDCJAC0009,81060,1961,04,15,2.8,1,Y
IDCJAC0009,81060,1961,04,16,0.0,,Y
IDCJAC0009,81060,1961,04,17,0.0,,Y
IDCJAC0009,81060,1961,04,18,0.0,,Y
IDCJAC0009,81060,1961,04,19,0.0,,Y
IDCJAC0009,81060,1961,04,20,0.0,,Y
IDCJAC0009,81060,1961,04,21,1.8,1,Y
IDCJAC0009,81060,1961,04,22,2.3,1,Y
IDCJAC0009,81060,1961,04,23,8.1,1,Y
IDCJAC0009,81060,1961,04,24,0.0,,Y
IDCJAC0009,81060,1961,04,25,0.0,,Y
IDCJAC0009,81060,1961,04,26,0.0,,Y
IDCJAC0009,81060,1961,04,27,0.0,,Y
IDCJAC0009,81060,1961,04,28,0.0,,Y
IDCJAC0009,81060,1961,04,29,0.0,,Y
IDCJAC0009,81060,1961,04,30,0.0,,Y
IDCJAC0009,81060,1961,05,01,0.0,,Y
IDCJAC0009,81060,1961,05,02,0.0,,Y
IDCJAC0009,81060,1961,05,03,2.8,1,Y
IDCJAC0009,81060,1961,05,04,0.0,,Y
IDCJAC0009,81060,1961,05,05,0.0,,Y
IDCJAC0009,81060,1961,05,06,1.5,1,Y
IDCJAC0009,81060,1961,05,07,0.0,,Y
IDCJAC0009,81060,1961,05,08,0.0,,Y
IDCJAC0009,81060,1961,05,09,2.5,1,Y
IDCJAC0009,81060,1961,05,10,0.0,,Y
IDCJAC0009,81060,1961,05,11,0.0,,Y
IDCJAC0009,81060,1961,05,12,0.0,,Y
IDCJAC0009,81060,1961,05,13,0.0,,Y
IDCJAC0009,81060,1961,05,14,0.0,,Y
IDCJAC0009,81060,1961,05,15,1.3,1,Y
IDCJAC0009,81060,1961,05,16,0.0,,Y
IDCJAC0009,81060,1961,05,17,0.0,,Y
IDCJAC0009,81060,1961,05,18,0.0,,Y
IDCJAC0009,81060,1961,05,19,0.0,,Y
IDCJAC0009,81060,1961,05,20,0.0,,Y
IDCJAC0009,81060,1961,05,21,5.6,1,Y
IDCJAC0009,81060,1961,05,22,0.0,,Y
IDCJAC0009,81060,1961,05,23,0.0,,Y
IDCJAC0009,81060,1961,05,24,0.0,,Y
IDCJAC0009,81060,1961,05,25,0.0,,Y
IDCJAC0009,81060,1961,05,26,0.0,,Y
IDCJAC0009,81060,1961,05,27,1.0,1,Y
IDCJAC0009,81060,1961,05,28,0.0,,Y
IDCJAC0009,81060,1961,05,29,0.0,,Y
IDCJAC0009,81060,1961,05,30,0.0,,Y
IDCJAC0009,81060,1961,05,31,0.0,,Y
IDCJAC0009,81060,1961,06,01,0.0,,Y
IDCJAC0009,81060,1961,06,02,0.0,,Y
IDCJAC0009,81060,1961,06,03,5.1,1,Y
IDCJAC0009,81060,1961,06,04,17.3,1,Y
IDCJAC0009,81060,1961,06,05,0.0,,Y
IDCJAC0009,81060,1961,06,06,0.0,,Y
IDCJAC0009,81060,1961,06,07,0.0,,Y
IDCJAC0009,81060,1961,06,08,6.6,1,Y
IDCJAC0009,81060,1961,06,09,9.7,1,Y
IDCJAC0009,81060,1961,06,10,0.0,,Y
IDCJAC0009,81060,1961,06,11,0.0,,Y
IDCJAC0009,81060,1961,06,12,0.0,,Y
IDCJAC0009,81060,1961,06,13,0.0,,Y
IDCJAC0009,81060,1961,06,14,0.0,,Y
IDCJAC0009,81060,1961,06,15,0.0,,Y
IDCJAC0009,81060,1961,06,16,9.4,1,Y
IDCJAC0009,81060,1961,06,17,6.9,1,Y
IDCJAC0009,81060,1961,06,18,7.9,1,Y
IDCJAC0009,81060,1961,06,19,1.5,1,Y
IDCJAC0009,81060,1961,06,20,0.8,1,Y
IDCJAC0009,81060,1961,06,21,2.3,1,Y
IDCJAC0009,81060,1961,06,22,1.0,1,Y
IDCJAC0009,81060,1961,06,23,0.0,,Y
IDCJAC0009,81060,1961,06,24,0.0,,Y
IDCJAC0009,81060,1961,06,25,0.0,,Y
IDCJAC0009,81060,1961,06,26,0.5,1,Y
IDCJAC0009,81060,1961,06,27,0.0,,Y
IDCJAC0009,81060,1961,06,28,0.0,,Y
